,BibNumber,Category Group,checkout_date,checkout_month
1228600,2269521,Nonfiction,2016-01-28,1
2614601,3047275,Nonfiction,2016-05-12,5
5553416,3099663,Fiction,2016-04-28,4
1518284,1888344,Nonfiction,2016-08-03,8
5718326,2447546,Fiction,2016-05-26,5
1364257,1594332,Nonfiction,2016-10-07,10
2596089,3087136,Nonfiction,2016-11-01,11
4428175,2540754,Fiction,2016-04-01,4
3757372,3024777,Fiction,2016-07-18,7
5089932,2884302,Nonfiction,2016-12-03,12
4194632,3166062,Fiction,2016-05-10,5
1113556,2995594,Fiction,2016-06-04,6
4509198,2982993,Fiction,2016-11-12,11
1244153,3010788,Nonfiction,2016-03-09,3
4540411,3035907,Fiction,2016-02-26,2
4530955,3027434,Fiction,2016-03-23,3
3546970,3141176,Fiction,2016-11-09,11
2349359,2430984,Nonfiction,2016-01-24,1
2755724,3134196,Nonfiction,2016-06-21,6
2308975,3119023,Nonfiction,2016-02-01,2
5750148,2726101,Fiction,2016-02-14,2
5382944,2765354,Fiction,2016-08-13,8
6186563,3044589,Fiction,2016-07-21,7
5469075,3003677,Fiction,2016-05-02,5
3811919,3148608,Fiction,2016-05-17,5
6123578,2671520,Fiction,2016-10-06,10
1146703,2947465,Fiction,2016-11-03,11
4713434,2928283,Nonfiction,2016-09-26,9
2656036,2687485,Nonfiction,2016-12-26,12
3252453,2969621,Fiction,2016-06-20,6
5498250,3210215,Fiction,2016-09-28,9
5910345,2810926,Fiction,2016-09-16,9
1260261,3126421,Nonfiction,2016-05-04,5
6334404,1773067,Nonfiction,2016-11-17,11
1477704,3113784,Nonfiction,2016-02-02,2
3758329,2739840,Fiction,2016-04-22,4
5771125,3068918,Fiction,2016-09-24,9
5340549,2942367,Fiction,2016-02-22,2
5775314,2957941,Fiction,2016-05-02,5
1404966,2439227,Nonfiction,2016-01-14,1
3746536,2097940,Fiction,2016-05-04,5
4304048,2469095,Nonfiction,2016-04-19,4
5225154,2664376,Fiction,2016-02-04,2
3266720,2617925,Fiction,2016-04-24,4
5919612,3082066,Fiction,2016-08-21,8
1387424,2543978,Nonfiction,2016-10-31,10
3699883,3061956,Fiction,2016-03-10,3
4308814,3077216,Fiction,2016-06-12,6
4307063,3057368,Nonfiction,2016-01-11,1
5846772,3113344,Fiction,2016-07-11,7
1137343,2692664,Fiction,2016-07-06,7
2261324,2866504,Nonfiction,2016-09-18,9
3502888,3148817,Fiction,2016-08-09,8
2335027,2029642,Nonfiction,2016-12-04,12
2363525,2883016,Nonfiction,2016-10-31,10
1541493,3061965,Fiction,2016-02-25,2
4363327,2906172,Fiction,2016-09-03,9
2324841,3004923,Nonfiction,2016-03-22,3
5850531,2685135,Fiction,2016-03-10,3
2559349,2741256,Nonfiction,2016-09-06,9
2144165,2882762,Fiction,2016-02-11,2
3554363,3181945,Fiction,2016-08-04,8
4350839,2740318,Fiction,2016-02-03,2
4995518,3183466,Fiction,2016-12-27,12
4730341,3065239,Nonfiction,2016-11-09,11
5240134,3136065,Fiction,2016-02-20,2
3774930,3176623,Fiction,2016-07-03,7
3840291,3086795,Fiction,2016-04-04,4
2475880,1823203,Nonfiction,2016-01-11,1
5363399,2237970,Fiction,2016-04-14,4
3856515,3165391,Fiction,2016-12-10,12
4378167,2881361,Fiction,2016-08-11,8
2752463,3143584,Nonfiction,2016-06-08,6
3546484,3208180,Fiction,2016-12-03,12
3558560,3170759,Fiction,2016-06-29,6
4775888,2738830,Nonfiction,2016-12-28,12
3685813,3143052,Fiction,2016-12-10,12
1254856,2945569,Nonfiction,2016-11-02,11
2608910,2883267,Nonfiction,2016-11-30,11
5051496,3170641,Fiction,2016-12-11,12
2755551,2875645,Nonfiction,2016-08-19,8
3096437,2302236,Nonfiction,2016-10-27,10
5462721,721331,Nonfiction,2016-05-28,5
5073356,2598386,Fiction,2016-07-10,7
3198250,2988459,Fiction,2016-07-07,7
6285734,86995,Fiction,2016-11-20,11
2629417,3091464,Nonfiction,2016-11-01,11
1438863,2172551,Nonfiction,2016-03-30,3
5569684,3144080,Fiction,2016-03-11,3
5706935,2928287,Nonfiction,2016-08-08,8
1335369,3091970,Nonfiction,2016-09-29,9
3718444,3103718,Fiction,2016-03-25,3
3172394,3179986,Fiction,2016-11-28,11
5891476,3122748,Fiction,2016-03-20,3
5888242,3144080,Fiction,2016-03-20,3
2697772,2305452,Nonfiction,2016-10-27,10
2371991,2988565,Nonfiction,2016-11-16,11
5528667,2838546,Fiction,2016-05-03,5
3248391,3021145,Fiction,2016-11-16,11
2129834,3066870,Fiction,2016-01-29,1
5067479,2942848,Fiction,2016-03-19,3
3518897,3091222,Fiction,2016-01-29,1
1224593,2984907,Nonfiction,2016-06-15,6
1514424,2793003,Nonfiction,2016-12-28,12
5389193,2307612,Fiction,2016-05-29,5
4407815,3089706,Fiction,2016-10-25,10
2445950,3217911,Nonfiction,2016-11-07,11
4323319,3125166,Fiction,2016-01-19,1
6252722,2858555,Language,2016-05-02,5
3625591,118481,Fiction,2016-02-23,2
2120870,3133781,Fiction,2016-11-06,11
5369380,2348114,Fiction,2016-05-31,5
2194288,2332942,Fiction,2016-04-07,4
5367652,2059128,Fiction,2016-05-31,5
3274236,2259340,Fiction,2016-04-10,4
5728452,2531166,Fiction,2016-02-25,2
5782488,3084637,Fiction,2016-11-21,11
5724190,2954690,Fiction,2016-02-14,2
2762120,3148627,Nonfiction,2016-12-14,12
5107349,2947349,Fiction,2016-01-23,1
5899643,2743990,Fiction,2016-01-09,1
3724990,2865888,Fiction,2016-07-14,7
2648279,2858612,Nonfiction,2016-04-10,4
4788326,3003806,Nonfiction,2016-10-27,10
4742565,3084713,Nonfiction,2016-06-01,6
2560922,2571784,Nonfiction,2016-10-01,10
5849081,2739798,Fiction,2016-12-22,12
2764165,2834600,Nonfiction,2016-03-22,3
6252745,3207062,Language,2016-12-28,12
4377012,2617596,Fiction,2016-01-29,1
2177555,2356113,Fiction,2016-05-17,5
3553873,3136012,Fiction,2016-10-17,10
2142782,2850582,Fiction,2016-09-19,9
5266016,2294510,Fiction,2016-10-19,10
3521445,2684532,Fiction,2016-05-06,5
4511422,2629692,Fiction,2016-06-07,6
5794760,2883490,Fiction,2016-07-19,7
6105183,2436121,Fiction,2016-08-22,8
5567488,3024693,Fiction,2016-09-15,9
5051283,2614551,Fiction,2016-01-27,1
5815781,2994390,Fiction,2016-08-03,8
6113606,3180270,Fiction,2016-10-13,10
2385533,2859128,Nonfiction,2016-06-23,6
1512626,3141728,Nonfiction,2016-05-24,5
4278451,3209387,Fiction,2016-12-10,12
5822533,2929785,Fiction,2016-12-18,12
5281384,2794952,Fiction,2016-03-29,3
3685091,2858344,Fiction,2016-07-06,7
3606350,2802107,Fiction,2016-06-12,6
1284707,3099521,Nonfiction,2016-01-20,1
2606232,3051196,Nonfiction,2016-08-01,8
3191697,2881397,Fiction,2016-09-15,9
5880976,3161437,Nonfiction,2016-05-25,5
2578603,2844194,Nonfiction,2016-11-21,11
4488714,1831517,Fiction,2016-06-22,6
2678118,2811216,Nonfiction,2016-01-26,1
5543052,2458249,Fiction,2016-06-14,6
1252813,2203247,Nonfiction,2016-05-12,5
3520260,2935727,Fiction,2016-04-05,4
4251663,3118960,Fiction,2016-04-27,4
1473140,197227,Nonfiction,2016-05-15,5
4265499,3143254,Fiction,2016-04-12,4
3826656,3118337,Fiction,2016-02-06,2
2434231,2965700,Nonfiction,2016-04-03,4
2319940,2953176,Nonfiction,2016-09-10,9
3610103,3146377,Fiction,2016-01-02,1
2353662,3197076,Nonfiction,2016-07-17,7
4468913,2684588,Fiction,2016-08-14,8
3810363,3113897,Fiction,2016-04-04,4
5662799,2915765,Nonfiction,2016-12-17,12
4447315,2941522,Fiction,2016-02-22,2
5781995,2926633,Fiction,2016-09-04,9
3523455,2709807,Fiction,2016-06-16,6
2645767,3065651,Nonfiction,2016-03-05,3
5116587,3209654,Fiction,2016-09-15,9
3106878,3145504,Nonfiction,2016-05-25,5
1318439,3109015,Nonfiction,2016-07-06,7
1560366,2876591,Fiction,2016-08-15,8
1459353,3056957,Nonfiction,2016-08-28,8
6314559,2326749,Nonfiction,2016-12-14,12
6356377,2980552,Nonfiction,2016-02-04,2
2661168,2960325,Nonfiction,2016-07-21,7
5893307,3103867,Fiction,2016-06-19,6
5600645,3203120,Fiction,2016-09-06,9
4400951,2926703,Fiction,2016-08-17,8
3786717,3176647,Fiction,2016-08-11,8
2279818,3096913,Nonfiction,2016-06-22,6
3672894,3156094,Fiction,2016-12-05,12
1392905,2483258,Nonfiction,2016-09-15,9
2494911,3198419,Nonfiction,2016-12-02,12
6105685,1773404,Fiction,2016-08-21,8
2352275,2984058,Nonfiction,2016-08-11,8
4383269,2906177,Fiction,2016-12-12,12
4553610,2758756,Fiction,2016-09-13,9
3249375,2908988,Fiction,2016-08-03,8
5646461,3167637,Nonfiction,2016-08-31,8
2763178,3160247,Nonfiction,2016-12-07,12
2198777,2389284,Language,2016-06-26,6
5074851,3003608,Fiction,2016-09-25,9
5705817,2562123,Nonfiction,2016-09-27,9
6402139,2523839,Nonfiction,2016-02-20,2
3190294,2847993,Fiction,2016-05-15,5
5880340,2481060,Nonfiction,2016-09-01,9
4192382,3194768,Fiction,2016-09-26,9
1167970,2633439,Fiction,2016-06-13,6
2555273,2747735,Nonfiction,2016-11-06,11
3804262,3144393,Fiction,2016-07-09,7
5665093,3143938,Nonfiction,2016-03-08,3
4270931,3218062,Fiction,2016-12-07,12
6147402,3045454,Fiction,2016-08-03,8
1183542,2917480,Nonfiction,2016-03-29,3
5802873,2963172,Fiction,2016-04-21,4
6098498,2258366,Fiction,2016-02-27,2
4401972,3182275,Fiction,2016-10-29,10
2655677,2982944,Nonfiction,2016-05-04,5
5557050,2832038,Fiction,2016-08-17,8
3219155,3196305,Fiction,2016-09-19,9
2612703,3117356,Nonfiction,2016-01-25,1
3791625,3173429,Fiction,2016-04-19,4
5908820,3220251,Fiction,2016-12-30,12
5824021,2635476,Fiction,2016-03-08,3
4450085,3133252,Fiction,2016-08-16,8
5262644,8070,Fiction,2016-09-13,9
1239650,2608087,Nonfiction,2016-09-23,9
3825978,3160134,Fiction,2016-06-29,6
3690841,3007030,Fiction,2016-12-14,12
1345070,2153375,Nonfiction,2016-04-09,4
2453482,2982412,Nonfiction,2016-04-02,4
6275371,2953362,Fiction,2016-05-24,5
4771351,3083161,Nonfiction,2016-10-24,10
5461031,2919271,Nonfiction,2016-08-30,8
1157866,3176276,Fiction,2016-06-11,6
2517524,3101460,Nonfiction,2016-04-27,4
1263891,3062162,Nonfiction,2016-10-08,10
1321042,3172163,Nonfiction,2016-05-02,5
3168556,3143009,Fiction,2016-07-10,7
2491538,2820963,Nonfiction,2016-03-14,3
3672199,2743194,Fiction,2016-03-22,3
2275221,2623134,Nonfiction,2016-07-18,7
4265450,3132444,Fiction,2016-02-29,2
3299310,3154153,Fiction,2016-02-03,2
2529965,3091907,Nonfiction,2016-01-09,1
1331317,2688210,Nonfiction,2016-04-11,4
2200013,2255240,Language,2016-05-18,5
2121777,3208302,Fiction,2016-09-27,9
5215726,2808467,Fiction,2016-02-29,2
4174364,2983446,Language,2016-02-01,2
5924794,2918892,Fiction,2016-04-27,4
4204630,3195518,Fiction,2016-08-05,8
2465240,3114458,Nonfiction,2016-01-15,1
6087862,2690025,Fiction,2016-04-21,4
2165351,3036947,Fiction,2016-07-08,7
2305845,2649882,Nonfiction,2016-04-25,4
3659638,3132242,Fiction,2016-04-28,4
5736137,2901122,Fiction,2016-01-29,1
5320690,2850685,Fiction,2016-06-03,6
2203600,2648455,Language,2016-04-16,4
3276257,3160589,Fiction,2016-09-24,9
2372973,3023953,Nonfiction,2016-08-08,8
1364058,380839,Nonfiction,2016-06-24,6
1372163,1781352,Nonfiction,2016-10-17,10
3533811,2664309,Fiction,2016-02-21,2
2508022,2902796,Nonfiction,2016-02-16,2
4176232,3102857,Language,2016-12-31,12
6205147,2377831,Language,2016-12-11,12
5545728,3193473,Fiction,2016-10-06,10
4800010,2734066,Nonfiction,2016-07-30,7
3118858,2716614,Nonfiction,2016-02-13,2
4352356,2503955,Fiction,2016-08-30,8
3500561,2669340,Fiction,2016-05-29,5
1456130,2692343,Nonfiction,2016-08-30,8
5306908,2479946,Fiction,2016-11-22,11
4525572,2725025,Fiction,2016-01-21,1
3717646,2543863,Fiction,2016-07-24,7
5391096,2719422,Fiction,2016-09-06,9
3746192,3135453,Fiction,2016-09-18,9
5482903,2725637,Fiction,2016-01-08,1
4517221,2198123,Fiction,2016-03-28,3
5239115,1965109,Fiction,2016-06-01,6
4759001,2513120,Nonfiction,2016-02-03,2
5065386,3172357,Fiction,2016-09-15,9
3209228,2908980,Fiction,2016-10-15,10
3560137,3140531,Fiction,2016-04-04,4
2556111,3141330,Nonfiction,2016-06-17,6
1335256,2801898,Nonfiction,2016-05-19,5
2305034,2475073,Nonfiction,2016-03-19,3
1411563,3037318,Nonfiction,2016-10-10,10
2191117,3142701,Fiction,2016-09-19,9
3817202,3219719,Fiction,2016-11-13,11
3258432,2946060,Fiction,2016-03-10,3
6257820,3110647,Language,2016-03-16,3
5100355,3104514,Nonfiction,2016-10-09,10
1225261,2452971,Nonfiction,2016-11-14,11
2715093,3183841,Nonfiction,2016-09-08,9
4999045,3156241,Fiction,2016-11-30,11
3298425,2861971,Fiction,2016-12-10,12
1555071,2860639,Fiction,2016-06-23,6
4528946,3032301,Fiction,2016-07-11,7
4776179,2928273,Nonfiction,2016-07-16,7
5577014,3011086,Fiction,2016-02-13,2
6157113,3025215,Fiction,2016-07-06,7
5517038,3065576,Fiction,2016-12-29,12
2131152,3087100,Fiction,2016-07-22,7
3759994,85061,Fiction,2016-02-03,2
5709550,3099115,Fiction,2016-07-03,7
2305447,2708814,Nonfiction,2016-02-18,2
5502952,2954599,Fiction,2016-08-23,8
5202874,3118165,Fiction,2016-05-09,5
4358472,2492474,Fiction,2016-01-31,1
4470629,2728615,Fiction,2016-10-06,10
5456652,2603456,Nonfiction,2016-08-16,8
3784334,3208135,Fiction,2016-09-17,9
4514342,2728724,Fiction,2016-02-03,2
1455753,3126322,Nonfiction,2016-11-04,11
1276201,3010731,Nonfiction,2016-03-21,3
3623126,3177754,Fiction,2016-11-05,11
6206431,3220522,Language,2016-11-14,11
5925924,2345432,Fiction,2016-09-06,9
1249301,2774598,Nonfiction,2016-06-08,6
4815383,2238575,Nonfiction,2016-05-24,5
2603450,2756629,Nonfiction,2016-11-08,11
1448711,3148713,Nonfiction,2016-05-26,5
2263605,2751777,Nonfiction,2016-01-25,1
6188281,3099390,Fiction,2016-02-08,2
4711480,2860349,Nonfiction,2016-01-30,1
3670086,3042259,Fiction,2016-03-21,3
4768210,2589708,Nonfiction,2016-06-22,6
5909468,2918892,Fiction,2016-03-19,3
2133332,2832897,Fiction,2016-07-26,7
2547171,2513209,Nonfiction,2016-01-07,1
4488627,3089437,Fiction,2016-08-09,8
4321592,3037799,Fiction,2016-10-14,10
6070884,3104368,Nonfiction,2016-11-09,11
2677803,3160218,Nonfiction,2016-08-01,8
1389338,2896377,Nonfiction,2016-06-22,6
1372632,2850773,Nonfiction,2016-07-17,7
3609576,3056290,Fiction,2016-06-17,6
1420213,2638699,Nonfiction,2016-01-22,1
3112907,2988626,Nonfiction,2016-03-21,3
4337974,2540908,Fiction,2016-04-01,4
1444167,2188500,Nonfiction,2016-01-26,1
3783848,3130358,Fiction,2016-03-06,3
5253270,2838603,Fiction,2016-06-04,6
1517720,3177519,Nonfiction,2016-09-23,9
5831935,3106054,Fiction,2016-11-28,11
4205882,2862237,Fiction,2016-09-20,9
5835613,3137081,Fiction,2016-03-16,3
6339659,2114697,Nonfiction,2016-04-04,4
1372046,3065367,Nonfiction,2016-08-31,8
2271114,2463908,Nonfiction,2016-11-14,11
5758828,3123914,Fiction,2016-11-02,11
2462920,3083125,Nonfiction,2016-06-05,6
3544640,2992481,Fiction,2016-01-22,1
5613039,2650868,Fiction,2016-10-18,10
5240743,3202700,Fiction,2016-12-15,12
5742332,2652767,Fiction,2016-07-27,7
1397863,142502,Nonfiction,2016-05-05,5
1439925,2513858,Nonfiction,2016-02-04,2
5869367,2944134,Fiction,2016-05-12,5
4376908,2656389,Fiction,2016-03-02,3
5602368,3181290,Fiction,2016-09-22,9
5770789,3104102,Fiction,2016-01-04,1
3672255,2919617,Fiction,2016-12-15,12
1225286,2904813,Nonfiction,2016-07-15,7
3785819,3167629,Fiction,2016-07-16,7
5243964,3193138,Fiction,2016-08-30,8
2427498,2805744,Nonfiction,2016-04-24,4
2319169,2702310,Nonfiction,2016-06-30,6
5464973,1255889,Nonfiction,2016-01-29,1
5223630,2321322,Fiction,2016-11-28,11
4200273,3126917,Fiction,2016-07-15,7
2714884,2316556,Nonfiction,2016-12-23,12
4724004,2661853,Nonfiction,2016-08-03,8
1239181,2996712,Nonfiction,2016-06-21,6
2762216,3203386,Nonfiction,2016-10-22,10
5361955,3131761,Fiction,2016-04-26,4
1504198,270965,Nonfiction,2016-10-25,10
4317339,2742049,Fiction,2016-02-22,2
1272690,2582923,Nonfiction,2016-10-29,10
5650493,3093916,Nonfiction,2016-05-24,5
3102120,2907051,Nonfiction,2016-02-18,2
3636613,3126615,Fiction,2016-06-22,6
3228532,2765364,Fiction,2016-11-07,11
4410973,3025270,Fiction,2016-08-29,8
1558613,2916590,Fiction,2016-09-09,9
6348445,2692500,Nonfiction,2016-11-18,11
5090239,3119028,Nonfiction,2016-03-28,3
4788085,3160423,Nonfiction,2016-03-14,3
6200551,2985277,Fiction,2016-10-25,10
5918590,2453767,Fiction,2016-11-30,11
4546613,2903015,Fiction,2016-10-08,10
2271870,2866333,Nonfiction,2016-07-17,7
5445916,84897,Nonfiction,2016-09-12,9
2701378,2716424,Nonfiction,2016-10-20,10
4253469,3168669,Fiction,2016-07-06,7
1532553,2551981,Fiction,2016-07-08,7
1154167,3202010,Fiction,2016-08-24,8
2526641,3104545,Nonfiction,2016-02-11,2
5086509,3165853,Nonfiction,2016-08-09,8
1450744,3097294,Nonfiction,2016-02-02,2
5780240,2927361,Fiction,2016-10-26,10
2572131,3093390,Nonfiction,2016-04-19,4
4271640,3034423,Fiction,2016-01-08,1
5030549,3101487,Fiction,2016-02-25,2
5252812,3101704,Fiction,2016-03-02,3
2522647,2714980,Nonfiction,2016-08-11,8
4428205,112845,Fiction,2016-04-05,4
2575654,3046066,Nonfiction,2016-05-13,5
1141914,2725648,Fiction,2016-03-05,3
5932607,2793697,Fiction,2016-08-07,8
5733470,3213485,Fiction,2016-11-15,11
5069605,3182964,Fiction,2016-08-11,8
5470449,2690530,Fiction,2016-11-12,11
5202347,3030187,Fiction,2016-10-18,10
5704671,3160423,Nonfiction,2016-10-24,10
1390887,1700150,Nonfiction,2016-11-03,11
2409270,3196467,Nonfiction,2016-09-15,9
4388547,3077210,Fiction,2016-04-02,4
6248175,2831059,Fiction,2016-10-19,10
2117191,2515561,Fiction,2016-03-22,3
5897553,2686909,Fiction,2016-02-26,2
2765436,2810836,Nonfiction,2016-02-27,2
2600002,1805539,Nonfiction,2016-03-14,3
5726846,2418380,Fiction,2016-12-18,12
1478041,2749773,Nonfiction,2016-05-09,5
2400954,3119037,Nonfiction,2016-01-26,1
2415876,3112099,Nonfiction,2016-03-08,3
5655093,3184752,Nonfiction,2016-11-25,11
2143261,3113527,Fiction,2016-06-21,6
6218384,1710853,Language,2016-07-22,7
6122588,2419221,Fiction,2016-06-13,6
5038360,3170346,Fiction,2016-07-12,7
5046044,3215595,Fiction,2016-11-20,11
4439684,2983432,Fiction,2016-04-12,4
5286096,3032408,Fiction,2016-11-01,11
1482440,2861495,Nonfiction,2016-03-24,3
1568311,3136809,Fiction,2016-04-15,4
1464403,2991326,Nonfiction,2016-02-03,2
2377848,2877084,Nonfiction,2016-05-06,5
4257738,3146720,Fiction,2016-04-13,4
4211374,3143039,Fiction,2016-10-02,10
2671354,2940320,Nonfiction,2016-01-25,1
5131512,2633557,Fiction,2016-02-16,2
1436734,3106094,Nonfiction,2016-11-14,11
2687036,2805906,Nonfiction,2016-03-13,3
3173224,3044623,Fiction,2016-07-17,7
1295657,3137598,Nonfiction,2016-02-28,2
3502603,3098846,Fiction,2016-02-04,2
2566260,2947536,Nonfiction,2016-10-29,10
1607362,2796354,Fiction,2016-07-06,7
4743603,1639712,Nonfiction,2016-03-22,3
5497873,2725637,Fiction,2016-08-01,8
2369678,2334259,Nonfiction,2016-03-31,3
1485895,2207098,Nonfiction,2016-11-06,11
3103385,1323498,Nonfiction,2016-04-18,4
3611312,3027831,Fiction,2016-10-27,10
4790984,2732331,Nonfiction,2016-08-13,8
4723077,3018609,Nonfiction,2016-01-12,1
1471583,2399446,Nonfiction,2016-01-17,1
1353785,66165,Nonfiction,2016-01-25,1
1318488,2946406,Nonfiction,2016-03-08,3
3653302,3172290,Fiction,2016-07-21,7
3786995,3144442,Fiction,2016-04-03,4
3524854,3128526,Fiction,2016-10-18,10
4179244,3205031,Language,2016-11-01,11
2120747,3113971,Fiction,2016-09-01,9
1583661,3079896,Fiction,2016-12-03,12
4473339,2940358,Fiction,2016-03-21,3
4284221,3163533,Fiction,2016-03-14,3
3621362,2802057,Fiction,2016-12-14,12
4468955,2633890,Fiction,2016-09-21,9
4529775,420513,Fiction,2016-02-12,2
5064932,2973872,Fiction,2016-03-16,3
2323337,3163465,Nonfiction,2016-11-17,11
3514936,1913208,Fiction,2016-05-28,5
5764548,348541,Fiction,2016-05-26,5
6399084,2733566,Nonfiction,2016-10-29,10
1371966,2494721,Nonfiction,2016-09-01,9
2503403,3128453,Nonfiction,2016-04-08,4
4212427,3014896,Fiction,2016-06-28,6
5733601,3099971,Fiction,2016-01-31,1
5556190,2648890,Fiction,2016-03-19,3
5315253,2942377,Fiction,2016-09-09,9
5579307,2860133,Fiction,2016-11-13,11
3107649,2653757,Nonfiction,2016-08-30,8
1136000,2734615,Fiction,2016-10-18,10
4793429,3118701,Nonfiction,2016-03-28,3
5805675,2603345,Fiction,2016-03-17,3
2742255,2805849,Nonfiction,2016-05-25,5
4361156,2719727,Fiction,2016-12-13,12
2725617,3132562,Nonfiction,2016-02-09,2
6347188,3035865,Nonfiction,2016-02-27,2
5884375,2678550,Nonfiction,2016-08-02,8
1286575,2957379,Nonfiction,2016-08-24,8
3208904,2996358,Fiction,2016-01-03,1
6118527,2743191,Fiction,2016-11-10,11
5110428,3028702,Fiction,2016-09-01,9
3584196,2700731,Fiction,2016-01-05,1
4494765,2441720,Fiction,2016-08-31,8
5464536,2562135,Nonfiction,2016-09-06,9
3849306,3162866,Fiction,2016-11-30,11
5527976,2698525,Fiction,2016-05-01,5
2775452,2830854,Nonfiction,2016-09-29,9
4175725,2923157,Language,2016-09-21,9
1467370,92923,Nonfiction,2016-01-14,1
2763228,2556570,Nonfiction,2016-03-24,3
2696195,2530339,Nonfiction,2016-01-10,1
6363366,1908598,Fiction,2016-02-26,2
4389350,3202677,Fiction,2016-10-18,10
5266370,2844981,Fiction,2016-02-03,2
3279120,1365238,Fiction,2016-05-24,5
2414525,2496718,Nonfiction,2016-12-12,12
2613364,2512876,Nonfiction,2016-04-24,4
3597682,3129777,Fiction,2016-09-26,9
3521167,1637138,Fiction,2016-11-01,11
5112710,2611053,Fiction,2016-12-17,12
6132307,632096,Fiction,2016-04-12,4
4347759,2286710,Fiction,2016-06-17,6
6251763,3190397,Language,2016-09-12,9
2340459,3109057,Nonfiction,2016-10-29,10
6063664,2532504,Nonfiction,2016-01-04,1
2663733,3141320,Nonfiction,2016-12-08,12
4732709,2683722,Nonfiction,2016-10-18,10
3579398,2741835,Fiction,2016-05-08,5
5492984,3077599,Fiction,2016-08-08,8
2714864,2940327,Nonfiction,2016-09-22,9
2259705,2853462,Nonfiction,2016-06-06,6
4530728,2980835,Fiction,2016-02-23,2
3265216,2439414,Fiction,2016-01-27,1
4286278,3114387,Fiction,2016-02-25,2
3548024,3104396,Fiction,2016-07-15,7
2540480,2555296,Nonfiction,2016-02-23,2
3700690,2927714,Fiction,2016-09-24,9
3789886,3171395,Fiction,2016-07-05,7
6398207,2691806,Nonfiction,2016-06-20,6
5297785,2903523,Fiction,2016-09-03,9
3302568,2067216,Fiction,2016-12-31,12
5843502,2774346,Fiction,2016-04-24,4
5832310,2929805,Fiction,2016-05-24,5
4317327,3038028,Fiction,2016-03-19,3
1314450,2394069,Nonfiction,2016-03-30,3
1277583,1815954,Nonfiction,2016-09-22,9
2750174,3172870,Nonfiction,2016-07-31,7
1447586,1887153,Nonfiction,2016-08-24,8
2596194,2485975,Nonfiction,2016-07-18,7
5230963,2745236,Fiction,2016-11-06,11
5646489,2714299,Nonfiction,2016-07-09,7
4754154,2395976,Nonfiction,2016-02-27,2
1340751,194961,Nonfiction,2016-11-26,11
4704451,2766283,Nonfiction,2016-02-01,2
2120010,2746344,Fiction,2016-09-13,9
3823938,3128571,Fiction,2016-06-10,6
2387441,2277726,Nonfiction,2016-10-15,10
4255823,3161500,Fiction,2016-06-11,6
4362062,2908712,Fiction,2016-06-27,6
4550395,3162864,Fiction,2016-06-11,6
1332563,2197211,Nonfiction,2016-10-11,10
5044217,3176081,Fiction,2016-04-29,4
3526293,3160613,Fiction,2016-06-13,6
4725123,2517279,Nonfiction,2016-01-31,1
6348427,3035872,Nonfiction,2016-11-02,11
3752584,2618507,Fiction,2016-05-08,5
3552427,3132112,Fiction,2016-10-25,10
5785944,2932485,Fiction,2016-01-11,1
3282285,3002490,Fiction,2016-01-02,1
5750025,2986499,Fiction,2016-12-19,12
3638393,3146487,Fiction,2016-10-20,10
1161589,3173086,Fiction,2016-11-08,11
3088499,2165907,Nonfiction,2016-04-13,4
1386867,2942188,Nonfiction,2016-10-02,10
2321261,2830644,Nonfiction,2016-10-27,10
2648483,2557958,Nonfiction,2016-06-21,6
3201908,2262721,Fiction,2016-10-08,10
3570780,2662869,Fiction,2016-07-10,7
5635746,2610924,Nonfiction,2016-04-11,4
4549215,2742274,Fiction,2016-06-20,6
5371976,2401532,Fiction,2016-08-15,8
2356521,3144505,Nonfiction,2016-06-10,6
3800469,3064831,Fiction,2016-07-03,7
3685359,3098897,Fiction,2016-02-27,2
4706272,2503104,Nonfiction,2016-01-05,1
3577376,2946080,Fiction,2016-01-16,1
6208189,3098493,Language,2016-12-07,12
5330121,2917050,Fiction,2016-01-30,1
1147581,2226058,Fiction,2016-08-31,8
3761885,2954412,Fiction,2016-01-25,1
4268189,3177383,Fiction,2016-08-14,8
2718523,3126288,Nonfiction,2016-03-14,3
4271900,3144472,Fiction,2016-06-29,6
5482104,2926901,Fiction,2016-09-28,9
4817653,2874109,Nonfiction,2016-12-10,12
1453109,2304820,Nonfiction,2016-08-07,8
6192959,2103324,Fiction,2016-06-08,6
1416488,2914862,Nonfiction,2016-06-02,6
4816410,3019399,Nonfiction,2016-03-29,3
5816675,2267749,Fiction,2016-08-11,8
3196985,3118214,Fiction,2016-08-03,8
1152569,3129669,Fiction,2016-03-01,3
3706319,3161365,Fiction,2016-04-12,4
4290757,3149268,Fiction,2016-05-15,5
4196474,3123739,Fiction,2016-01-30,1
4478033,3025263,Fiction,2016-05-02,5
4307140,2866078,Nonfiction,2016-06-24,6
3095273,3173393,Nonfiction,2016-05-05,5
1317283,2731665,Nonfiction,2016-08-12,8
5768862,1955973,Fiction,2016-11-04,11
5820857,2940052,Fiction,2016-03-18,3
3745834,3162926,Fiction,2016-09-16,9
4507329,2974249,Fiction,2016-01-23,1
5519235,2497210,Fiction,2016-02-05,2
6147567,2145987,Fiction,2016-08-13,8
6139898,3086139,Fiction,2016-09-28,9
2269325,2767064,Nonfiction,2016-03-31,3
1251901,2843431,Nonfiction,2016-10-28,10
2496375,3046066,Nonfiction,2016-01-09,1
