,BibNumber,Category Group,checkout_date,checkout_month
2294284,2570033,Nonfiction,2016-10-02,10
2387874,2732580,Nonfiction,2016-05-06,5
3676298,2742093,Fiction,2016-06-22,6
6148311,2722857,Fiction,2016-08-16,8
2426122,2919143,Nonfiction,2016-06-30,6
2163464,2232536,Fiction,2016-08-26,8
3549502,3101532,Fiction,2016-08-15,8
3526412,2805274,Fiction,2016-05-31,5
6148092,2987508,Fiction,2016-10-01,10
3837513,3208255,Fiction,2016-09-28,9
5830118,2967733,Fiction,2016-06-13,6
3654218,3160015,Fiction,2016-02-03,2
3601098,1596485,Fiction,2016-09-20,9
3705753,3220344,Fiction,2016-12-11,12
4236062,2980921,Fiction,2016-07-12,7
1356483,1957119,Nonfiction,2016-02-16,2
5555128,3134277,Fiction,2016-06-23,6
1416135,3062126,Nonfiction,2016-07-26,7
3509734,2635867,Fiction,2016-05-24,5
5850744,1886698,Fiction,2016-03-22,3
6205547,3128268,Language,2016-03-03,3
4789238,2701785,Nonfiction,2016-08-15,8
5363906,2475246,Fiction,2016-06-07,6
2180022,3114223,Fiction,2016-07-02,7
3722590,3009031,Fiction,2016-01-07,1
3608589,2857305,Fiction,2016-01-21,1
2738337,3119015,Nonfiction,2016-02-21,2
1292654,2244601,Nonfiction,2016-12-03,12
1234044,2502942,Nonfiction,2016-02-10,2
6309247,3065116,Nonfiction,2016-01-31,1
4487556,3044255,Fiction,2016-02-02,2
1116631,3163621,Fiction,2016-06-25,6
4722107,3138611,Nonfiction,2016-06-30,6
3840729,3176639,Fiction,2016-06-21,6
5105232,3028690,Fiction,2016-10-12,10
5718889,2980844,Fiction,2016-03-03,3
5721010,2338568,Fiction,2016-10-09,10
6236826,2743211,Fiction,2016-02-16,2
6150806,3129750,Fiction,2016-04-29,4
4356488,92742,Fiction,2016-02-04,2
2298713,3148607,Nonfiction,2016-06-14,6
3571245,3177843,Fiction,2016-11-12,11
2759692,3065720,Nonfiction,2016-02-25,2
4786938,1365268,Nonfiction,2016-09-28,9
1162543,3021909,Fiction,2016-02-22,2
5774559,2866265,Fiction,2016-01-02,1
2605281,2715093,Nonfiction,2016-02-26,2
4229349,3104560,Fiction,2016-02-16,2
5469562,2884355,Fiction,2016-05-01,5
6120878,2470568,Fiction,2016-11-30,11
2444998,2517995,Nonfiction,2016-01-03,1
5485100,2734161,Fiction,2016-05-16,5
1108028,2157839,Fiction,2016-08-26,8
3646637,2873442,Fiction,2016-12-26,12
4542215,3037799,Fiction,2016-10-19,10
4752895,2970986,Nonfiction,2016-08-15,8
2567349,3160427,Nonfiction,2016-10-12,10
6398661,2767277,Nonfiction,2016-03-22,3
1547946,3143444,Fiction,2016-09-17,9
3765680,3099353,Fiction,2016-11-19,11
1298779,1822812,Nonfiction,2016-11-20,11
2298613,3195671,Nonfiction,2016-09-25,9
6308114,2319650,Nonfiction,2016-11-26,11
5031813,3194788,Fiction,2016-12-05,12
5920833,2749698,Fiction,2016-01-19,1
5566873,2772427,Fiction,2016-11-10,11
4727979,2874105,Nonfiction,2016-04-29,4
2326416,3078452,Nonfiction,2016-04-12,4
4284112,3141183,Fiction,2016-06-24,6
2673051,3141282,Nonfiction,2016-11-04,11
5780653,3034413,Fiction,2016-02-03,2
3162520,3182097,Fiction,2016-07-21,7
4173761,2230069,Language,2016-04-02,4
2330085,3116048,Nonfiction,2016-09-14,9
1470915,2333290,Nonfiction,2016-01-30,1
4270117,3097484,Fiction,2016-06-02,6
3259125,3030477,Fiction,2016-03-01,3
5016632,3164866,Fiction,2016-04-20,4
2736362,3057387,Nonfiction,2016-10-09,10
5484784,2884634,Fiction,2016-01-30,1
3668291,2904204,Fiction,2016-06-17,6
6285395,4275,Fiction,2016-11-13,11
3584456,3156629,Fiction,2016-07-24,7
5234201,2121465,Fiction,2016-04-28,4
2602714,2866332,Nonfiction,2016-08-07,8
